"Version";"FilePath";"ReferenceName";"FileName";"ReferenceType"
"7.0.1";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"Microsoft.Extensions.Logging.Abstractions";"CodeDesignPlus.Net.Library.csproj";"PackageReference"
"7.0.1";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"Microsoft.Extensions.Options";"CodeDesignPlus.Net.Library.csproj";"PackageReference"
"7.0.0";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"Microsoft.Extensions.Options.ConfigurationExtensions";"CodeDesignPlus.Net.Library.csproj";"PackageReference"
"7.0.0";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"Microsoft.Extensions.Options.DataAnnotations";"CodeDesignPlus.Net.Library.csproj";"PackageReference"
;"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";;"CodeDesignPlus.Net.Library.csproj";"PackageReference"
;"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";;"CodeDesignPlus.Net.Library.csproj";"PackageReference"
"";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"";"CodeDesignPlus.Net.Library.csproj";"ProjectReference"
"";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"CodeDesignPlus.Net.Library.Abstractions";"CodeDesignPlus.Net.Library.csproj";"ProjectReference"
"";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\src\CodeDesignPlus.Net.Library\CodeDesignPlus.Net.Library.csproj";"";"CodeDesignPlus.Net.Library.csproj";"ProjectReference"
"6.0.0";"F:\Repos\CodeDesignPlus.Net.Sdk\node_modules\.pnpm\@codedesignplus+netcore@1.0.3-rc.0_tslib@1.14.1\node_modules\@codedesignplus\netcore\src\generators\library\files\tests\CodeDesignPlus.Net.Library.Test\CodeDesignPlus.Net.Library.Test.csproj";"coverlet.msbuild";"CodeDesignPlus.Net.Library.Test.csproj";"PackageReference"
